,LLOC,MATH-1405,MATH-1421
src/main/java/org/apache/commons/math4/util/IterationEvent.java,13,0,0
src/main/java/org/apache/commons/math4/util/IterationListener.java,8,0,0
src/main/java/org/apache/commons/math4/util/IterationManager.java,56,0,0
src/main/java/org/apache/commons/math4/util/KthSelector.java,74,0,0
src/main/java/org/apache/commons/math4/util/MathArrays.java,637,0,0
src/main/java/org/apache/commons/math4/util/MathUtils.java,111,0,0
src/main/java/org/apache/commons/math4/util/MedianOf3PivotingStrategy.java,29,0,0
src/main/java/org/apache/commons/math4/util/MultidimensionalCounter.java,130,0,0
src/main/java/org/apache/commons/math4/util/NumberTransformer.java,5,0,0
src/main/java/org/apache/commons/math4/util/OpenIntToDoubleHashMap.java,302,0,0
src/main/java/org/apache/commons/math4/util/OpenIntToFieldHashMap.java,312,0,0
src/main/java/org/apache/commons/math4/util/Pair.java,55,0,0
src/main/java/org/apache/commons/math4/util/PivotingStrategyInterface.java,6,0,0
src/main/java/org/apache/commons/math4/util/RandomPivotingStrategy.java,38,0,0
src/main/java/org/apache/commons/math4/util/ResizableDoubleArray.java,297,0,0
src/main/java/org/apache/commons/math4/util/TransformerMap.java,83,0,0
src/main/java/org/apache/commons/math4/analysis/differentiation/DerivativeStructure.java,637,0,0
src/main/java/org/apache/commons/math4/analysis/differentiation/DSCompiler.java,885,0,0
src/main/java/org/apache/commons/math4/analysis/differentiation/FiniteDifferencesDifferentiator.java,169,0,0
src/main/java/org/apache/commons/math4/analysis/differentiation/GradientFunction.java,24,0,0
src/main/java/org/apache/commons/math4/analysis/differentiation/JacobianFunction.java,26,0,0
src/main/java/org/apache/commons/math4/analysis/differentiation/MultivariateDifferentiableFunction.java,7,0,0
src/main/java/org/apache/commons/math4/analysis/differentiation/MultivariateDifferentiableVectorFunction.java,8,0,0
src/main/java/org/apache/commons/math4/analysis/differentiation/SparseGradient.java,555,0,0
src/main/java/org/apache/commons/math4/analysis/differentiation/UnivariateDifferentiableFunction.java,7,0,0
src/main/java/org/apache/commons/math4/analysis/differentiation/UnivariateDifferentiableMatrixFunction.java,7,0,0
src/main/java/org/apache/commons/math4/analysis/differentiation/UnivariateDifferentiableVectorFunction.java,7,0,0
src/main/java/org/apache/commons/math4/analysis/differentiation/UnivariateFunctionDifferentiator.java,5,0,0
src/main/java/org/apache/commons/math4/analysis/differentiation/UnivariateMatrixFunctionDifferentiator.java,5,0,0
src/main/java/org/apache/commons/math4/analysis/differentiation/UnivariateVectorFunctionDifferentiator.java,5,0,0
src/main/java/org/apache/commons/math4/analysis/function/Abs.java,9,0,0
src/main/java/org/apache/commons/math4/analysis/function/Acos.java,14,0,0
src/main/java/org/apache/commons/math4/analysis/function/Acosh.java,14,0,0
src/main/java/org/apache/commons/math4/analysis/function/Add.java,8,0,0
src/main/java/org/apache/commons/math4/analysis/function/Asin.java,14,0,0
src/main/java/org/apache/commons/math4/analysis/function/Asinh.java,14,0,0
src/main/java/org/apache/commons/math4/analysis/function/Atan.java,14,0,0
src/main/java/org/apache/commons/math4/analysis/function/Atan2.java,9,0,0
src/main/java/org/apache/commons/math4/analysis/function/Atanh.java,14,0,0
src/main/java/org/apache/commons/math4/analysis/function/Cbrt.java,14,0,0
src/main/java/org/apache/commons/math4/analysis/function/Ceil.java,9,0,0
src/main/java/org/apache/commons/math4/analysis/function/Constant.java,17,0,0
src/main/java/org/apache/commons/math4/analysis/function/Cos.java,14,0,0
src/main/java/org/apache/commons/math4/analysis/function/Cosh.java,14,0,0
src/main/java/org/apache/commons/math4/analysis/function/Divide.java,8,0,0
src/main/java/org/apache/commons/math4/analysis/function/Exp.java,14,0,0
src/main/java/org/apache/commons/math4/analysis/function/Expm1.java,14,0,0
src/main/java/org/apache/commons/math4/analysis/function/Floor.java,9,0,0
src/main/java/org/apache/commons/math4/analysis/function/Gaussian.java,119,0,0
src/main/java/org/apache/commons/math4/analysis/function/HarmonicOscillator.java,76,0,0
src/main/java/org/apache/commons/math4/analysis/function/Identity.java,13,0,0
src/main/java/org/apache/commons/math4/analysis/function/Inverse.java,13,0,0
src/main/java/org/apache/commons/math4/analysis/function/Log.java,14,0,0
src/main/java/org/apache/commons/math4/analysis/function/Log10.java,14,0,0
src/main/java/org/apache/commons/math4/analysis/function/Log1p.java,14,0,0
src/main/java/org/apache/commons/math4/analysis/function/Logistic.java,98,0,0
src/main/java/org/apache/commons/math4/analysis/function/Logit.java,91,0,0
src/main/java/org/apache/commons/math4/analysis/function/Max.java,9,0,0
src/main/java/org/apache/commons/math4/analysis/function/Min.java,9,0,0
src/main/java/org/apache/commons/math4/analysis/function/Minus.java,13,0,0
src/main/java/org/apache/commons/math4/analysis/function/Multiply.java,8,0,0
src/main/java/org/apache/commons/math4/analysis/function/Pow.java,9,0,0
src/main/java/org/apache/commons/math4/analysis/function/Power.java,18,0,0
src/main/java/org/apache/commons/math4/analysis/function/Rint.java,9,0,0
src/main/java/org/apache/commons/math4/analysis/function/Sigmoid.java,86,0,0
src/main/java/org/apache/commons/math4/analysis/function/Signum.java,9,0,0
src/main/java/org/apache/commons/math4/analysis/function/Sin.java,14,0,0
src/main/java/org/apache/commons/math4/analysis/function/Sinc.java,83,0,0
src/main/java/org/apache/commons/math4/analysis/function/Sinh.java,14,0,0
src/main/java/org/apache/commons/math4/analysis/function/Sqrt.java,14,0,0
src/main/java/org/apache/commons/math4/analysis/function/StepFunction.java,44,0,0
src/main/java/org/apache/commons/math4/analysis/function/Subtract.java,8,0,0
