,LLOC,ab7ce2f6ec40e865f00efcd86e344f95db733acb,fda9f73f94080815ec643d7320c32a905c65db61,fa03d461d1e0b2a4e096b7c9a0e6ed0cf4cc0aa5,712f514f4215356c3453247e65d3a0c0a9018dbf,9feb51fcf63e2700b6f3171ba3c0533cc26d6bf4,cc5cb1cf7d0c6fcb1f1695ba63863231d4f8e613,45e4ba325f7d8b17b366a412dca7c26970834924,4fe97b13f8b4d70fa8eff2953a06f329bdf3c7ac,358bac68c089a12ff346c8665cd860f5fe6a38e9,86c8473bff9759995d539859809f4f456ba6b4aa,53db0052691c71951e8e54caefafb9a2ed677063,cb50d1940f53027fb76da03201ee5dc8cb5c81c2,bc458a5b045a9d3c08a9f82950dd77c69f80859e
policy/src/test/java/org/apache/wss4j/policy/tests/TransportBindingTest.java,66,0,0,0,0,0,0,0,0,0,0,0,0,0
policy/src/test/java/org/apache/wss4j/policy/tests/Trust10Test.java,68,0,0,0,0,0,0,0,0,0,0,0,0,0
policy/src/test/java/org/apache/wss4j/policy/tests/Trust13Test.java,144,0,0,0,0,0,0,0,0,0,0,0,0,0
policy/src/test/java/org/apache/wss4j/policy/tests/UsernameTokenTest.java,119,0,0,0,0,0,0,0,0,0,0,0,0,0
policy/src/test/java/org/apache/wss4j/policy/tests/Wss10Test.java,66,0,0,0,0,0,0,0,0,0,0,0,0,0
policy/src/test/java/org/apache/wss4j/policy/tests/Wss11Test.java,72,0,0,0,0,0,0,0,0,0,0,0,0,0
policy/src/test/java/org/apache/wss4j/policy/tests/X509TokenTest.java,68,0,0,0,0,0,0,0,0,0,0,0,0,0
ws-security-policy-stax/src/test/java/org/apache/wss4j/policy/stax/test/WSP13SpecTest.java,175,0,0,0,0,0,0,0,0,0,0,0,0,0
ws-security-common/src/main/java/org/apache/wss4j/common/derivedKey/DerivedKeyUtils.java,26,0,0,0,0,0,0,0,0,0,0,0,0,0
ws-security-stax/src/main/java/org/apache/wss4j/stax/ext/WSInboundSecurityContext.java,9,0,0,0,0,0,0,0,0,0,0,0,0,0
